"Story","Title","Result","Date","Stability","Duration (s)"
"User creates an account","User can create an account","SUCCESS","2020-05-25T17:30:09.707-05:00[America/Bogota]","0.0","66.44"
"User creates an account","User can log in account","SUCCESS","2020-05-25T17:31:17.113-05:00[America/Bogota]","0.0","31.51"
